age_diff,reach_diff,5f_win_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
1.1808219106352453,-6,-1,0,0,23,4.243030899316992,-0.055325034578146616,0
-8.31506850093195,-3,-1,-3,1,-35,1.8052287581699353,-0.03529411764705882,1
-7.126027405501553,-2,2,-1,0,-39,1.3457147028763323,0.0,1
-4.520547954724279,2,2,1,-1,-3,5.0035308609162605,-0.1849217638691323,0
-10.180821923893618,6,2,2,-4,-49,3.234025418119236,0.0,0
1.6328767074560204,-3,0,-1,-1,2,0.47217134000281646,0.0,1
5.473972594873764,-1,0,-2,0,-35,-3.8716302445759023,0.28511087645195354,0
-4.142465759529998,-8,1,0,1,4,-1.3385594332196273,-0.3276699029126213,0
8.624657527670685,-10,-1,-1,1,29,0.0809941025206724,0.0,0
-4.627397267876908,3,0,-3,0,-6,2.3925415949512336,0.020042073054121257,0
