reach_diff,5f_win_diff,5f_loss_diff,5f_finish_diff,5f_finished_diff,5f_opp_win_diff,strpm_diff,tdpm_diff,result
-2,1,-1,-1,1,26,3.670222982721443,0.2292134831460674,1
-2,0,0,-2,0,28,0.11339413781843888,0.020839864875624305,1
-6,-1,1,-1,1,-8,-0.35813368973779847,0.2507027917053696,0
0,-1,1,1,1,-33,-3.1364700853430936,-0.12028267113478772,0
-1,2,-2,3,-1,13,1.1686669586800993,0.18204117389399913,1
-2,2,-2,2,0,-33,1.8946612672641274,0.8241436425813847,0
-4,0,0,-2,1,-22,3.021450159816193,0.331537062136246,0
3,-3,3,-1,1,-8,-1.7499355466985855,-0.12743509358140825,0
-1,0,0,0,0,-17,3.206418666677314,0.20849886407646823,0
1,0,0,1,-2,-5,-0.06679029516303459,-0.016782568382012045,0
1,1,-1,0,-1,-37,0.028279654359780082,-0.08788872972598308,0
1,1,-1,1,0,-21,0.07623002068069962,0.06300399185597258,1
-1,0,0,1,0,-19,-0.6709962307577926,0.10468860111331647,1
-3,1,-1,0,-1,-2,0.04846379692255631,-0.15219950514007746,0
-4,-1,1,-1,1,28,-0.5775871515799715,0.08256880733944953,1
-3,1,-1,1,0,-9,0.7098243733509237,-0.040093172823219,0
2,-1,1,1,1,4,-0.9626570915619386,-0.2,0
2,-2,2,-2,1,13,-2.451271409057477,0.06980928864137859,1
-1,0,0,0,1,14,-4.027609997774064,0.14057993854738254,1
2,-1,1,2,1,2,-1.1927081167255844,0.23277188604699522,1
3,0,0,1,1,-27,-1.150470366886172,0.2322201317027281,1
-4,2,-2,1,-1,-43,-1.0324536209783792,0.2340702210663199,1
-4,-1,1,-1,-1,11,-0.2555217997322634,-0.03977859762940773,1
4,1,-1,0,-1,-41,1.2978850295433202,-0.06414490032580492,0
2,-1,1,-4,0,-15,-0.3463639355051007,-0.34794340243501154,0
5,1,-1,-1,1,1,3.0218978845797944,-0.2698650674662669,1
-3,0,0,0,0,-10,0.13792634165319306,0.20971194340937233,1
1,0,0,0,-1,0,1.2721474838066766,0.1111111111111111,1
2,1,-1,1,0,-23,0.4864287998183956,-0.01835423676965433,1
-1,0,0,2,0,-2,0.21111111111111036,0.0,1
-2,1,-1,2,0,-15,0.4552019107926455,0.04249291784702549,0
-1,-1,1,-1,1,-18,0.6135470570911687,0.13333333333333333,0
1,0,0,-1,-1,10,0.18582629060177114,-0.03278688524590164,0
0,-1,1,-1,0,-18,-0.4566735669097879,-0.029600108340265822,1
2,1,-1,0,1,-3,-0.5575343188708346,-0.012208780705200761,1
-1,0,0,-1,-2,-18,-0.9896713615023471,0.2222222222222222,0
-5,0,0,-1,-3,20,0.22287104622871023,0.031792376317923754,0
3,-3,3,-1,2,3,1.600936523182126,-0.28110359187922956,0
0,1,-1,3,0,-14,-0.9891892321151805,-0.15833976358724783,0
-1,0,0,1,0,-14,0.29161936560934887,-0.12033388981636058,1
-1,-1,1,0,0,10,-4.165484052015061,0.02348347112990433,0
-3,0,0,-1,-1,11,0.020206844542081992,0.01975633849193283,1
1,-2,2,-2,0,27,-0.86082390010503,-0.07916909791107479,1
-2,-1,1,1,-1,-1,-0.3478086924895436,-0.021022004000727408,0
-2,-2,2,1,-1,10,-1.5126563649742457,-0.6169977924944812,0
-5,-2,2,-2,1,-17,-0.8555363874512811,0.010693784489977098,0
0,0,0,0,0,-19,1.205234881963217,0.09874643370261676,0
-1,-1,1,-1,1,-10,-0.4730485819057977,0.11402862021114744,1
-1,0,0,0,1,0,-0.26555265268113515,-0.09964044595049018,0
2,1,-1,2,-1,12,-1.0344811857453102,-0.09102911401065833,1
-1,2,-2,2,0,-40,9.044477028347995,-0.05376344086021505,0
-3,0,0,0,-1,0,-0.053331960037079185,-0.05639097744360903,0
0,1,-1,1,0,18,0.4566735669097879,0.029600108340265822,0
2,2,-2,-1,1,-10,1.5126563649742457,0.6169977924944812,1
4,3,-3,0,-1,-14,0.666666666666667,0.42222222222222217,1
