Marcio Alexandre Junior,http://ufcstats.com/fighter-details/d53482bef23235ba
Bill Algeo,http://ufcstats.com/fighter-details/9abc648e76c4493a
Sultan Aliev,http://ufcstats.com/fighter-details/e70de1859b7ee78e
John Allan,http://ufcstats.com/fighter-details/6ebe96a116e79e52
Arnold Allen,http://ufcstats.com/fighter-details/040a74bb0a465c54
Brendan Allen,http://ufcstats.com/fighter-details/2f181c0467965b98
Ben Alloway,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb
Ricardo Almeida,http://ufcstats.com/fighter-details/91186547a7f3f758
Thomas Almeida,http://ufcstats.com/fighter-details/2b074403b7c6cdb4
Jailton Almeida,http://ufcstats.com/fighter-details/41e83a89929d1327
Lucas Almeida,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41
Sarah Alpar,http://ufcstats.com/fighter-details/49b130de1da2e1bf
Ali AlQaisi,http://ufcstats.com/fighter-details/e87a13e02c01331d
Victor Altamirano,http://www.ufcstats.com/fighter-details/dc7927cd622676a7
Eddie Alvarez,http://ufcstats.com/fighter-details/33a331684283900f
Jaime Alvarez,http://ufcstats.com/fighter-details/4438482bd1d5a029
Joel Alvarez,http://ufcstats.com/fighter-details/58bbef3770bb2dfc
Thiago Alves,http://ufcstats.com/fighter-details/31ee470ef5dc8d7f
Warlley Alves,http://ufcstats.com/fighter-details/d317a5e2b3f88c5f
Rafael Alves,http://ufcstats.com/fighter-details/029afd138865d20a
Sam Alvey,http://ufcstats.com/fighter-details/d156513a19acf856
Adlan Amagov,http://ufcstats.com/fighter-details/1e327b281ef6a745
Alen Amedovski,http://ufcstats.com/fighter-details/70fa1c64a2c439ef
Makwan Amirkhani,http://ufcstats.com/fighter-details/87a1dc546b1c5caf
Eryk Anders,http://ufcstats.com/fighter-details/cad24459b28592ca
Corey Anderson,http://ufcstats.com/fighter-details/5e4eec08896c9423
Megan Anderson,http://ufcstats.com/fighter-details/a0e75f4a13eb73f1
Jessica Andrade,http://ufcstats.com/fighter-details/6a1901c62ab3870f
Viscardi Andrade,http://ufcstats.com/fighter-details/d221ee27afc7a60e
Dylan Andrews,http://ufcstats.com/fighter-details/00debc804e2b1cd4
Collin Anglin,http://ufcstats.com/fighter-details/047a91d3d9c79b05
Chad Anheliger,http://ufcstats.com/fighter-details/c7c39e2fb70248b3
Magomed Ankalaev,http://ufcstats.com/fighter-details/d802174b0c0c1f4e
Gadzhimurad Antigulov,http://ufcstats.com/fighter-details/af997f7611673880
Adam Antolin,http://ufcstats.com/fighter-details/25b31165758402dd
Shinsho Anzai,http://ufcstats.com/fighter-details/4665f9f909cd7214
 Aoriqileng,http://ufcstats.com/fighter-details/7d420039bbfe7c1a
Felipe Arantes,http://ufcstats.com/fighter-details/71002dbc1743b9a7
Igor Araujo,http://ufcstats.com/fighter-details/dbea8c1cb327ab3d
Viviane Araujo,http://ufcstats.com/fighter-details/36541f1e6c5d4955
Julio Arce,http://ufcstats.com/fighter-details/1291edf2d566a71a
Hashem Arkhagha,http://ufcstats.com/fighter-details/009c4420727149ea
Andrei Arlovski,http://ufcstats.com/fighter-details/3738e68d2261e60f
Austin Arnett,http://ufcstats.com/fighter-details/bf0e700106d00e55
Akbarh Arreola,http://ufcstats.com/fighter-details/c136b2a8852da5bd
Matt Arroyo,http://ufcstats.com/fighter-details/de62052b2ede65ba
Antonio Arroyo,http://ufcstats.com/fighter-details/61fb8098ccf81c7f
Teddy Ash,http://ufcstats.com/fighter-details/a373085066dbfb54
Askar Askar,http://ufcstats.com/fighter-details/b1d19449397541dc
Askar Askarov,http://ufcstats.com/fighter-details/b1d19449397541dc
Cyril Asker,http://ufcstats.com/fighter-details/9be6020024133293
Scott Askham,http://ufcstats.com/fighter-details/06827d70c53ff0d9
Ben Askren,http://ufcstats.com/fighter-details/0b31f87be71ebbb1
Tom Aspinall,http://ufcstats.com/fighter-details/399afbabc02376b5
Junior Assuncao,http://www.ufcstats.com/fighter-details/d0d7160824278840
Rich Attonito,http://ufcstats.com/fighter-details/210935fd21670f6d
Olivier Aubin-Mercier,http://ufcstats.com/fighter-details/55ee431411ccf07a
Marcus Aurelio,http://ufcstats.com/fighter-details/04643fd03d9159cc
